condition,child_mean,child_ci_low,child_ci_high,semantic_equivalence_rate,grandchild_mean,grandchild_ci_low,grandchild_ci_high
No Archive,0.920,0.840,0.977,0.000,0.721,0.688,0.746
Correct Claim Only,1.000,1.000,1.000,1.000,1.000,1.000,1.000
False Claim Only,0.752,0.615,0.887,0.000,0.692,0.654,0.725
False Claim + Provenance,0.900,0.751,1.000,0.800,0.933,0.838,1.000
Evidence Only,0.883,0.711,1.000,0.800,0.908,0.771,1.000
